method,url_path,source_file,requires_auth,auth_mechanism,accepts_untrusted_input,validates_input,writes_data,calls_stripe_or_supabase
POST,/api/documents/verify/bulk,app/api/documents/verify/bulk/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/donate/create-checkout,app/api/donate/create-checkout/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/donations/create-checkout,app/api/donations/create-checkout/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/donations/webhook,app/api/donations/webhook/route.ts,yes,webhook_sig,yes,no,yes,yes
POST,/api/drug-testing/checkout,app/api/drug-testing/checkout/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/email-marketing/campaigns/schedule,app/api/email-marketing/campaigns/schedule/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/email-marketing/campaigns/send,app/api/email-marketing/campaigns/send/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/email/campaigns/send,app/api/email/campaigns/send/route.ts,yes,apiRequireAdmin,yes,no,yes,yes
POST,/api/email/send,app/api/email/send/route.ts,yes,apiRequireAdmin,yes,no,no,no
POST,/api/email/send-welcome,app/api/email/send-welcome/route.ts,yes,apiRequireAdmin,yes,no,no,no
POST,/api/emails/certificate,app/api/emails/certificate/route.ts,yes,apiRequireAdmin,yes,no,no,yes
POST,/api/emails/certificate-delivery,app/api/emails/certificate-delivery/route.ts,no,NONE,yes,no,no,no
POST,/api/emails/welcome,app/api/emails/welcome/route.ts,yes,apiRequireAdmin,yes,no,no,yes
POST,/api/employer/hours/approve,app/api/employer/hours/approve/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enroll,app/api/enroll/route.ts,yes,getUser,yes,no,no,yes
POST,/api/enroll/apply,app/api/enroll/apply/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enroll/approve,app/api/enroll/approve/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enroll/auto,app/api/enroll/auto/route.ts,no,NONE,yes,no,yes,yes
POST,/api/enroll/checkout,app/api/enroll/checkout/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/enroll/cna,app/api/enroll/cna/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/enroll/complete,app/api/enroll/complete/route.ts,no,NONE,yes,no,yes,yes
POST,/api/enroll/finalize-payment,app/api/enroll/finalize-payment/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enroll/payment,app/api/enroll/payment/route.ts,yes,getUser,yes,no,no,yes
POST,/api/enrollment/barber,app/api/enrollment/barber/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enrollment/complete-orientation,app/api/enrollment/complete-orientation/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enrollment/documents/complete,app/api/enrollment/documents/complete/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enrollment/orientation/complete,app/api/enrollment/orientation/complete/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enrollment/submit,app/api/enrollment/submit/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/enrollment/submit-documents,app/api/enrollment/submit-documents/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enrollment/upload-document,app/api/enrollment/upload-document/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/enrollments/apprentice,app/api/enrollments/apprentice/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/enrollments/checkout,app/api/enrollments/checkout/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/enrollments/complete-program,app/api/enrollments/complete-program/route.ts,yes,getUser,yes,no,no,yes
POST,/api/enrollments/create,app/api/enrollments/create/route.ts,no,NONE,yes,no,yes,yes
POST,/api/enrollments/create-enforced,app/api/enrollments/create-enforced/route.ts,no,NONE,yes,yes,yes,yes
POST,/api/enrollments/host-shop,app/api/enrollments/host-shop/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/events/:/register,app/api/events/[id]/register/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/events/login,app/api/events/login/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/exams/start,app/api/exams/start/route.ts,yes,requireApiAuth,yes,no,yes,yes
POST,/api/exams/submit,app/api/exams/submit/route.ts,yes,requireApiAuth,yes,no,yes,yes
POST,/api/ferpa/training/submit,app/api/ferpa/training/submit/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/franchise/payouts/:/approve,app/api/franchise/payouts/[payoutId]/approve/route.ts,yes,getUser,no,no,no,yes
POST,/api/franchise/payouts/:/pay,app/api/franchise/payouts/[payoutId]/pay/route.ts,yes,getUser,yes,no,no,yes
POST,/api/franchise/payouts/generate,app/api/franchise/payouts/generate/route.ts,yes,getUser,yes,no,no,yes
POST,/api/fssa-partnership,app/api/fssa-partnership/route.ts,no,NONE,yes,no,yes,yes
POST,/api/funding/admin/action,app/api/funding/admin/action/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/funding/admin/resend,app/api/funding/admin/resend/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/funding/create-checkout,app/api/funding/create-checkout/route.ts,no,NONE,yes,no,yes,yes
POST,/api/funding/recommend,app/api/funding/recommend/route.ts,yes,getUser,yes,no,no,yes
POST,/api/gdpr/delete,app/api/gdpr/delete/route.ts,yes,getUser,yes,no,no,yes
POST,/api/gdpr/export,app/api/gdpr/export/route.ts,yes,getUser,yes,no,no,yes
POST,/api/github/clone,app/api/github/clone/route.ts,yes,apiAuthGuard,yes,no,no,no
POST,/api/github/commit,app/api/github/commit/route.ts,no,NONE,yes,no,no,no
POST,/api/grade/upsert,app/api/grade/upsert/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/grants/draft,app/api/grants/draft/route.ts,yes,apiRequireAdmin,yes,no,yes,yes
POST,/api/grants/eligibility,app/api/grants/eligibility/route.ts,yes,apiRequireAdmin,yes,no,no,no
POST,/api/grants/forms,app/api/grants/forms/route.ts,yes,apiRequireAdmin,yes,no,no,no
POST,/api/grants/match,app/api/grants/match/route.ts,yes,apiRequireAdmin,no,no,yes,yes
POST,/api/grants/package,app/api/grants/package/route.ts,yes,apiRequireAdmin,yes,no,no,no
POST,/api/handbook/acknowledge,app/api/handbook/acknowledge/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/heygen/generate,app/api/heygen/generate/route.ts,yes,apiRequireAdmin,yes,no,no,no
POST,/api/hours/submit,app/api/hours/submit/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/hsi/create-checkout,app/api/hsi/create-checkout/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/hubspot/submit,app/api/hubspot/submit/route.ts,no,NONE,yes,no,no,no
POST,/api/identity/upload-manual,app/api/identity/upload-manual/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/identity/verify-ssn,app/api/identity/verify-ssn/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/inquiries,app/api/inquiries/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/inquiry,app/api/inquiry/route.ts,no,NONE,yes,no,yes,yes
POST,/api/instructor/campaigns/send,app/api/instructor/campaigns/send/route.ts,yes,getUser,yes,no,no,yes
POST,/api/intake/application,app/api/intake/application/route.ts,no,NONE,yes,yes,yes,yes
POST,/api/intake/eligibility,app/api/intake/eligibility/route.ts,no,NONE,yes,yes,yes,yes
POST,/api/intake/interest,app/api/intake/interest/route.ts,no,NONE,yes,yes,yes,yes
POST,/api/legal/sign,app/api/legal/sign/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/license-request,app/api/license-request/route.ts,no,NONE,yes,no,yes,yes
POST,/api/license/checkout,app/api/license/checkout/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/license/portal,app/api/license/portal/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/license/webhook,app/api/license/webhook/route.ts,yes,webhook_sig,yes,no,yes,yes
POST,/api/licenses/request,app/api/licenses/request/route.ts,no,NONE,yes,no,yes,yes
POST,/api/licenses/webhook,app/api/licenses/webhook/route.ts,yes,webhook_sig,yes,no,no,yes
POST,/api/licensing/request,app/api/licensing/request/route.ts,no,NONE,yes,no,yes,yes
POST,/api/live/zoom,app/api/live/zoom/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/lms/forums/reply,app/api/lms/forums/reply/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/lms/progress/complete,app/api/lms/progress/complete/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/lms/progress/start,app/api/lms/progress/start/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/lms/quizzes/:/start,app/api/lms/quizzes/[quizId]/start/route.ts,yes,getUser,no,yes,yes,yes
POST,/api/lms/quizzes/:/submit,app/api/lms/quizzes/[quizId]/submit/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/lti/launch,app/api/lti/launch/route.ts,no,NONE,yes,no,yes,yes
POST,/api/marketing/campaigns/:/send,app/api/marketing/campaigns/[id]/send/route.ts,yes,apiRequireAdmin,no,no,yes,yes
POST,/api/marketing/send-welcome,app/api/marketing/send-welcome/route.ts,yes,apiRequireAdmin,yes,no,no,no
POST,/api/marketplace/apply,app/api/marketplace/apply/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/marketplace/report,app/api/marketplace/report/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/media/delete,app/api/media/delete/route.ts,yes,getUser,yes,no,no,yes
POST,/api/media/enhance-video-full,app/api/media/enhance-video-full/route.ts,yes,getUser,yes,no,no,yes
POST,/api/media/upload,app/api/media/upload/route.ts,yes,getUser,yes,no,no,yes
POST,/api/meetings/create,app/api/meetings/create/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/milady/auto-enroll,app/api/milady/auto-enroll/route.ts,yes,apiRequireAdmin,yes,no,yes,yes
POST,/api/milady/sso,app/api/milady/sso/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/mobile/login,app/api/mobile/login/route.ts,no,NONE,yes,no,no,yes
POST,/api/notifications/broadcast,app/api/notifications/broadcast/route.ts,no,NONE,yes,no,yes,yes
POST,/api/notifications/send,app/api/notifications/send/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/notifications/subscribe,app/api/notifications/subscribe/route.ts,no,NONE,yes,no,no,yes
POST,/api/notifications/unsubscribe,app/api/notifications/unsubscribe/route.ts,no,NONE,yes,no,no,yes
POST,/api/offline/sync,app/api/offline/sync/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/onboarding/complete,app/api/onboarding/complete/route.ts,yes,getUser,no,no,yes,yes
POST,/api/onboarding/learner,app/api/onboarding/learner/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/onboarding/payroll-setup,app/api/onboarding/payroll-setup/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/onboarding/provision-tenant,app/api/onboarding/provision-tenant/route.ts,no,NONE,yes,no,yes,yes
POST,/api/onboarding/sign-document,app/api/onboarding/sign-document/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/org/create,app/api/org/create/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/org/invite/:/accept,app/api/org/invite/[token]/accept/route.ts,yes,getUser,no,no,yes,yes
POST,/api/partner-courses/create-checkout,app/api/partner-courses/create-checkout/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/partner-inquiry,app/api/partner-inquiry/route.ts,no,NONE,yes,no,yes,yes
POST,/api/partner/applications/:/approve,app/api/partner/applications/[id]/approve/route.ts,yes,getUser,no,no,yes,yes
POST,/api/partner/applications/:/deny,app/api/partner/applications/[id]/deny/route.ts,yes,apiRequireAdmin,yes,no,yes,yes
POST,/api/partners/barbershop-apprenticeship/apply,app/api/partners/barbershop-apprenticeship/apply/route.ts,no,NONE,yes,yes,yes,yes
POST,/api/partners/enroll,app/api/partners/enroll/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/partners/lead,app/api/partners/lead/route.ts,no,NONE,yes,no,no,no
POST,/api/partners/mou,app/api/partners/mou/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/partners/select-role,app/api/partners/select-role/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/payments/create-intent,app/api/payments/create-intent/route.ts,yes,getUser,yes,no,no,yes
POST,/api/payments/split,app/api/payments/split/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/phone/call,app/api/phone/call/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/privacy/delete,app/api/privacy/delete/route.ts,yes,apiAuthGuard,yes,no,yes,yes
POST,/api/privacy/export,app/api/privacy/export/route.ts,yes,apiAuthGuard,yes,no,no,yes
POST,/api/program-holder/acknowledge-handbook,app/api/program-holder/acknowledge-handbook/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holder/acknowledge-rights,app/api/program-holder/acknowledge-rights/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holder/apply,app/api/program-holder/apply/route.ts,no,NONE,yes,no,yes,yes
POST,/api/program-holder/create-verification,app/api/program-holder/create-verification/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holder/documents/upload,app/api/program-holder/documents/upload/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holder/enroll-participant,app/api/program-holder/enroll-participant/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holder/mou/sign,app/api/program-holder/mou/sign/route.ts,yes,getUser,yes,no,yes,yes
POST,/api/program-holder/notification-preferences,app/api/program-holder/notification-preferences/route.ts,yes,getUser,yes,no,yes,yes
